fingerprint,sitename,title,author,date,source,hostname,excerpt,categories,tags,filename,id,license,comments,source-hostname
cH3FUzLlPU3zFKV4BMPk+zTnoi4=,,Clarkesworld Magazine - Science Fiction & Fantasy,Alvaro Zinos-Amaro,2022-01-01 00:00:00,https://clarkesworldmagazine.com/spain_interview/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Spanish Science Fiction: A Round Table Discussion with||Spain's Top Contemporary Voices by Alvaro Zinos-Amaro,,,./data/1/ZYKnIAaF1ZN1WmQprynbEpE4HcY.json,,,,Clarkesworld Magazine
5kV6AFlcT0nu0sOrjGfFr1QaziQ=,,Clarkesworld Magazine - Science Fiction & Fantasy,Sunny Moraine,2022-01-01 00:00:00,https://clarkesworldmagazine.com/moraine_07_12/,clarkesworldmagazine.com,"Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Iron Ladies, Iron Tigers by Sunny Moraine",,,./data/1/eEwhYTfKr3Ns2ikmhITxxcPAsR8.json,,,,Clarkesworld Magazine
QUY44SC9jKujJMBf1oVQRDeevds=,,Clarkesworld Magazine - Science Fiction & Fantasy,Emily Devenport,2022-01-01 00:00:00,https://clarkesworldmagazine.com/devenport_08_15/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: The Servant by Emily Devenport,,,./data/1/d+2twcxZXQ9mCiLGQR3watHtGzc.json,,,,Clarkesworld Magazine
6sFnuSzcr6/4+HHFhap5PGVx/Ts=,,Clarkesworld Magazine - Science Fiction & Fantasy,P H Lee,2022-01-01 00:00:00,https://clarkesworldmagazine.com/lee_04_20/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Distant Stars by P H Lee,,,./data/1/RV1ou5O4BzUiL6RuPRaSSzOAqog.json,,,,Clarkesworld Magazine
LlNQua5WrM/tbklCx1tg1OS+io0=,,Clarkesworld Magazine - Science Fiction & Fantasy,Molly Gloss,2022-01-01 00:00:00,https://clarkesworldmagazine.com/gloss_06_14_reprint/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Lambing Season by Molly Gloss,,,./data/1/Vp79Bl9U5vNxQZ2NnPZE3CY229w.json,,,,Clarkesworld Magazine
KR28grMIikOBZNTMmhte+fgB6BY=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Jeremy L C Jones,2022-01-01,https://clarkesworldmagazine.com/lord_interview/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Always a New World: A Conversation with Karen Lord by Jeremy L. C. Jones,,,./data/1/RYezWnUk02CDbUeuUbxCqggGsOU.xml,,,,
QxefFI4WWDVuXcNLixEsu7wL1kw=,,Clarkesworld Magazine - Science Fiction & Fantasy,Natalia Theodoridou,2022-01-01 00:00:00,https://clarkesworldmagazine.com/theodoridou_04_19/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: The Last Eagle by Natalia Theodoridou,,,./data/1/YUoKJFOxrcrdIU7ryN7sem5rHos.json,,,,Clarkesworld Magazine
bwTztjVvjbpfzdfnRG987N+GEfU=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Karl Bunker,2022-01-01,https://clarkesworldmagazine.com/bunker_03_16_reprint/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Gray Wings by Karl Bunker,,,./data/1/nkRIflhnkisMuzVqYCws81pQlQo.xml,,,,
aqMcfCLehml76mxD1XFTYMWqbCM=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Ray Nayler,2022-01-01,https://clarkesworldmagazine.com/nayler_04_21/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Sarcophagus by Ray Nayler,,,./data/1/jSF8sq1GGNRFkRDRN+FaMAl8cmM.xml,,,,
2YkCecdbT4dn4+LB+amk6ekx2SE=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Douglas F Dluzen; PhD,2022-01-01,https://clarkesworldmagazine.com/dluzen_12_18/,clarkesworldmagazine.com,"Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: The Modern Search for the Fountain of Youth by Douglas F. Dluzen, PhD",,,./data/1/OYNFb0Ft5KxxxbG9TT-AmJc3zO4.xml,,,,
wRrBHkq4FK7zziPGySSXETXZoz0=,,Clarkesworld Magazine - Science Fiction & Fantasy,A M Dellamonica,2022-01-01 00:00:00,https://clarkesworldmagazine.com/another_word_05_17/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Another Word: The Elizabeth Effect by A.M. Dellamonica,,,./data/1/gG5MW+W9RAxjLDkOee26o6bf7Mg.json,,,,Clarkesworld Magazine
v0tFOyBLe7pc8lU3uL3cJmEJ5DQ=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Matthew Johnson,2022-01-01,https://clarkesworldmagazine.com/johnson_10_12/,clarkesworldmagazine.com,"Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: The Future, One Thing at a Time by Matthew Johnson",,,./data/1/sp7ZWCmu9FKfyUnRaBeqo-XmI9I.xml,,,,
QkY5c1EaRXul84JRjY6eqFNwcy0=,,Clarkesworld Magazine - Science Fiction & Fantasy,Sameem Siddiqui,2022-01-01 00:00:00,https://clarkesworldmagazine.com/siddiqui_05_21/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Dancing With Ereshkigal by Sameem Siddiqui,,,./data/1/fHXl+BbOBzrlKTQ42RbcvJEcCqo.json,,,,Clarkesworld Magazine
jPcBxMLwujRFzHsnZzZSzMsT/hU=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Yilin Wang,2022-01-01,https://clarkesworldmagazine.com/wang_10_18/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Sparrow by Yilin Wang,,,./data/1/1af0Pj6Lqlu4jrSQOnsuJz9mKIU.xml,,,,
BuzcDw82ukufQ8dvPpHZDd0ORT0=,,Clarkesworld Magazine - Science Fiction & Fantasy,Bogi Takács,2022-01-01 00:00:00,https://clarkesworldmagazine.com/takacs_07_20/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Power to Yield by Bogi Takács,,,./data/1/-pXa9fYsvSN2gxGOjWJ9ufHSaD4.json,,,,Clarkesworld Magazine
obV3keyd8N7qbYxCTXCm3IJxXjo=,,Clarkesworld Magazine - Science Fiction & Fantasy,Greg Egan,2022-01-01 00:00:00,https://clarkesworldmagazine.com/egan_10_20/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: You and Whose Army? by Greg Egan,,,./data/1/yFD7gRbECKPibiBy1gdR+eBM8Vw.json,,,,Clarkesworld Magazine
kY/FJgB4AmPoBBEEDiAZcKmz9sU=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Arthur Haas,2022-01-01,https://clarkesworldmagazine.com/artbio_140/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Meeting by Arthur Haas,,,./data/1/Rl1Z9ULVMYBXz3MUo4FAqxyzxok.xml,,,,
Swacw9rNDhX3sNaJZkUtIKp5to0=,,Clarkesworld Magazine - Science Fiction & Fantasy,Adam Stemple,2022-01-01 00:00:00,https://clarkesworldmagazine.com/stemple_08_21/,clarkesworldmagazine.com,"Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: The Clock, Having Seen Its Face in the Mirror, Still Knows Not the Hour by Adam Stemple",,,./data/1/z-z5AfIiyOHjb+BEzdZYisSJUQs.json,,,,Clarkesworld Magazine
ZjHEtRTw6RDCT7UIxDEScgrNUDw=,,Clarkesworld Magazine - Science Fiction & Fantasy,Anastasia Bookreyeva; Ray Nayler,2022-01-01 00:00:00,https://clarkesworldmagazine.com/bookreyeva_02_21/,clarkesworldmagazine.com,"Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Terra Rasa by Anastasia Bookreyeva, translated by Ray Nayler",,,./data/1/nEWy1l9cKJM7+AkQz9XjqigWu24.json,,,,Clarkesworld Magazine
p40l8zdVotJPEwmo3z/SxcyukjM=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Anna Martino,2022-01-01,https://clarkesworldmagazine.com/martino_11_21/,clarkesworldmagazine.com,"Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: This Stitch, This Time by Anna Martino",,,./data/1/u2YULN89LlwAQRpxKTgp3tEmI-o.xml,,,,
F2oNrmPgCOjq1QbzUFyLjqFbBgQ=,,Clarkesworld Magazine - Science Fiction & Fantasy,Jeff VanderMeer,2022-01-01 00:00:00,https://clarkesworldmagazine.com/picacio_interview/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: An Interview with John Picacio,,,./data/1/fSejkGCWefCY1-2rT8QBr-f9KLM.json,,,,Clarkesworld Magazine
Eh1QlTsrWGatmIABXr/kvF8r11g=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Liz Williams,2022-01-01,https://clarkesworldmagazine.com/williams_05_13_reprint/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: The Banquet of the Lords of Night by Liz Williams,,,./data/1/R0dYLBLCDOlKIYR2Y2TRv-bWDQ4.xml,,,,
OloqzRnOwSpRCV8PVAzbK5WUlYo=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Lavie Tidhar,2022-01-01,https://clarkesworldmagazine.com/tidhar_07_17_reprint/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: The Oracle by Lavie Tidhar,,,./data/1/uHL-Oorx63u+HAGgKFQSsnmIs1U.xml,,,,
oss7gsyWo2reP9Vh5ynCp1ptX8A=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Neil Clarke,2022-01-01,https://clarkesworldmagazine.com/clarke_07_11/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: This is My Life on Ebooks by Neil Clarke,,,./data/1/9tfwV4sho2WWd6KbVSLI4wRfQwE.xml,,,,
TQt+5hkqyTunFwiTQugTUDeXYDE=,,Clarkesworld Magazine - Science Fiction & Fantasy,Chris Urie,2022-01-01 00:00:00,https://clarkesworldmagazine.com/newitz_interview/,clarkesworldmagazine.com,"Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Pirate Pharmaceuticals, Robots, and Kaiju: A Conversation with Annalee Newitz by Chris Urie",,,./data/1/9iYoElks++5knESwKh3XdhnK-0k.json,,,,Clarkesworld Magazine
ExdITdR/iVZMm0rHDLv/ChFPBg8=,,Clarkesworld Magazine - Science Fiction & Fantasy,Tom Purdom,2022-01-01 00:00:00,https://clarkesworldmagazine.com/purdom_09_17_reprint/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Bonding with Morry by Tom Purdom,,,./data/1/1NpStZ77gpczwhiMm+elyrKYEG0.json,,,,Clarkesworld Magazine
TfvyFSfuBJ3tbKq/HgJQs3BZVFI=,,Clarkesworld Magazine - Science Fiction & Fantasy,Corie Ralston,2022-01-01 00:00:00,https://clarkesworldmagazine.com/ralston_06_09/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: The Giving Heart by Corie Ralston,,,./data/1/JpqGxH-U92TqGz6f9N6rCXxaBOk.json,,,,Clarkesworld Magazine
Q018d7BNNvvm6wqxtF8Tv3ZCJcA=,,Clarkesworld Magazine - Science Fiction & Fantasy,Yosef Lindell,2022-01-01 00:00:00,https://clarkesworldmagazine.com/lindell_12_16/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: A Future Far Too Bright by Yosef Lindell,,,./data/1/VKniuEetHdb2WXOW3OZ9Bv7GOHo.json,,,,Clarkesworld Magazine
hspePKTIBs+7UXOet6pkQWQa4Eo=,,Clarkesworld Magazine - Science Fiction & Fantasy,Regina Kanyu Wang; Emily Jin,2022-01-01 00:00:00,https://clarkesworldmagazine.com/wang_09_21/,clarkesworldmagazine.com,"Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: The Winter Garden by Regina Kanyu Wang, translated by Emily Jin",,,./data/1/dhz6uY15+GS5w3a3UPHItK+3sD8.json,,,,Clarkesworld Magazine
p8n3ZxeoGDCC4wKEaCIONRYB1xY=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,L Chan,2022-01-01,https://clarkesworldmagazine.com/chan_04_21/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: A House Is Not A Home by L Chan,,,./data/1/BXb2qE8nN7cua2ry9xFwZjclUVc.xml,,,,
bq6wrkAh0OVOTxSD512yKErhIlE=,,Clarkesworld Magazine - Science Fiction & Fantasy,Alethea Kontis,2022-01-01 00:00:00,https://clarkesworldmagazine.com/another_word_03_13/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Another Word: Original Sin by Alethea Kontis,,,./data/1/IbtRB4zu7lUfeqA6Tl8Kh+9jdCM.json,,,,Clarkesworld Magazine
sRLYDM4bWqVSTuLc7V569XHU3zA=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Gwendolyn Clare,2022-01-01,https://clarkesworldmagazine.com/clare_03_11/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Perfect Lies by Gwendolyn Clare,,,./data/1/zlvhQPVL+1EdjLEXw+9LOiunXW4.xml,,,,
DSYwppqejvy6SIUfS2RqFE6j93o=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Priya Chand,2022-01-01,https://clarkesworldmagazine.com/chand_04_19/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Social Darwinism by Priya Chand,,,./data/1/KgMUvio69YMRlGU0smqjbzTaE7w.xml,,,,
S+otnjD+stSGm9WNpM5EZj/Xp5g=,,Clarkesworld Magazine - Science Fiction & Fantasy,Arley Sorg,2022-01-01 00:00:00,https://clarkesworldmagazine.com/basu_interview/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Everyday Dystopia: A Conversation with Samit Basu by Arley Sorg,,,./data/1/6cDpT6BsPLLeoZVIZ1-VjUpb1kg.json,,,,Clarkesworld Magazine
Q4UN7jHW4tpPTVIp74P5XLqKftw=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Arley Sorg,2022-01-01,https://clarkesworldmagazine.com/palwick_interview_2019/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: The Good Story: A Conversation with Susan Palwick by Arley Sorg,,,./data/1/Tuu8B0PxcUhwh9MLaNwC8bjRWps.xml,,,,
QQk483OsSa5NIdiaJchb8qBG2s8=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Mark Cole,2022-01-01,https://clarkesworldmagazine.com/cole_10_16/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Méliès to Bonestell: Relevancy and Realism in Cinematic Science Fiction by Mark Cole,,,./data/1/vuQ-eMGmPBIwbMRi1lALhv01HEo.xml,,,,
MnMj+beU1+Gh3ou2Inu8OthyZpk=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Chris Urie,2022-01-01,https://clarkesworldmagazine.com/sterling_interview/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Magician Spies and Wacky Rubbish: A Conversation with Bruce Sterling by Chris Urie,,,./data/1/+ztj5vo5bfH3yEtNiqgXFwIDh30.xml,,,,
bV+Xzfg7Uccbqh+QcXvx4VUxA0k=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Daniel Abraham,2022-01-01,https://clarkesworldmagazine.com/another_word_12_12/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Another Word: The Echo Chamber by Daniel Abraham,,,./data/1/HAsMDJORkFbhdPpJm89iSSwLlJc.xml,,,,
p2f/lJZyi4vWibOpsOvB/Gxnc8M=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Choyeop Kim; Joungmin Lee Comfort,2022-01-01,https://clarkesworldmagazine.com/choyeop_12_19/,clarkesworldmagazine.com,"Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Symbiosis Theory by Choyeop Kim, translated by Joungmin Lee Comfort",,,./data/1/8F5oTHoM0rmlbpmVpXPKK-H742o.xml,,,,
vePqay/z7t59JLD7IBI3q/qLso4=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Kristine Kathryn Rusch,2022-01-01,https://clarkesworldmagazine.com/rusch_02_15/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: The Last Surviving Gondola Widow by Kristine Kathryn Rusch,,,./data/1/BUB2OXg+aa0tIv-HXoDrdahqp5k.xml,,,,
HAxEE5zp/+HhfqpE38c0eCQkTeQ=,,Clarkesworld Magazine - Science Fiction & Fantasy,Jeremy L C Jones,2022-01-01 00:00:00,https://clarkesworldmagazine.com/esslemont_interview/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: The Minimal and Finely Focused Fantasy of Ian C. Esslemont by Jeremy L. C. Jones,,,./data/1/WFywc+Ci05ECTvE-AI-0yKcsUQc.json,,,,Clarkesworld Magazine
YrG3xGymV+OqlIzs3sAR0Z0PoYs=,Clarkesworld Magazine,Clarkesworld Magazine - Science Fiction & Fantasy,Jeremy L C Jones,2022-01-01,https://clarkesworldmagazine.com/faust_interview/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: War Destroys Everyone It Touches: A Conversation with Minister Faust by Jeremy L. C. Jones,,,./data/1/5eqp+aB909AVAAMJuvpiaO8ed08.xml,,,,
G1jHg6Z/ldcE1kHFRfeUXZE+Dp8=,,Clarkesworld Magazine - Science Fiction & Fantasy,Calden Wloka,2022-01-01 00:00:00,https://clarkesworldmagazine.com/wloka_04_17/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Narrative Perception: A Study in Interspecies Stimuli by Calden Wloka,,,./data/1/xbUKldNBWk1s6TgmKIeOse2Q7LA.json,,,,Clarkesworld Magazine
WFfXwWLrF/PhgPuRb3m6aYT08fY=,,Clarkesworld Magazine - Science Fiction & Fantasy,David Tallerman,2022-01-01 00:00:00,https://clarkesworldmagazine.com/tallerman_07_13/,clarkesworldmagazine.com,Clarkesworld Science Fiction and Fantasy Magazine and Podcast. This page: Across the Terminator by David Tallerman,,,./data/1/Ng0+-RTh4NXCyHk5tlgddcQJiMk.json,,,,Clarkesworld Magazine
